GEOID,NAME,total_hh,total_hh_moe,multi_person_est,multi_person_moe,multi_person_share,living_alone_est,living_alone_moe,living_alone_share,block_group,tract
150030001071,Block Group 1; Census Tract 1.07; Honolulu County; Hawaii,518,58,465,63,0.8977,53,32,0.1023,1,1.07
150030039001,Block Group 1; Census Tract 39; Honolulu County; Hawaii,252,60,16,17.3,0.0635,236,58,0.9365,1,39
150030040001,Block Group 1; Census Tract 40; Honolulu County; Hawaii,643,150,272,79.4,0.423,371,143,0.577,1,40
150030040002,Block Group 2; Census Tract 40; Honolulu County; Hawaii,233,67,111,54.1,0.4764,122,52,0.5236,2,40
150030041011,Block Group 1; Census Tract 41.01; Honolulu County; Hawaii,406,148,197,65,0.4852,209,140,0.5148,1,41.01
150030041012,Block Group 2; Census Tract 41.01; Honolulu County; Hawaii,397,83,169,87.1,0.4257,228,74,0.5743,2,41.01
150030041021,Block Group 1; Census Tract 41.02; Honolulu County; Hawaii,497,180,240,159.8,0.4829,257,112,0.5171,1,41.02
150030041022,Block Group 2; Census Tract 41.02; Honolulu County; Hawaii,527,103,218,93.3,0.4137,309,103,0.5863,2,41.02
150030041023,Block Group 3; Census Tract 41.02; Honolulu County; Hawaii,250,133,96,75.2,0.384,154,106,0.616,3,41.02
150030042011,Block Group 1; Census Tract 42.01; Honolulu County; Hawaii,419,68,178,68.9,0.4248,241,75,0.5752,1,42.01
150030042012,Block Group 2; Census Tract 42.01; Honolulu County; Hawaii,540,179,219,64,0.4056,321,175,0.5944,2,42.01
150030042021,Block Group 1; Census Tract 42.02; Honolulu County; Hawaii,435,107,315,115,0.7241,120,70,0.2759,1,42.02
150030042022,Block Group 2; Census Tract 42.02; Honolulu County; Hawaii,518,81,184,70.7,0.3552,334,81,0.6448,2,42.02
150030043011,Block Group 1; Census Tract 43.01; Honolulu County; Hawaii,310,91,164,67.3,0.529,146,92,0.471,1,43.01
150030043012,Block Group 2; Census Tract 43.01; Honolulu County; Hawaii,651,189,492,178.7,0.7558,159,99,0.2442,2,43.01
150030043021,Block Group 1; Census Tract 43.02; Honolulu County; Hawaii,326,111,184,77.1,0.5644,142,99,0.4356,1,43.02
150030043022,Block Group 2; Census Tract 43.02; Honolulu County; Hawaii,358,115,205,115,0.5726,153,75,0.4274,2,43.02
150030043023,Block Group 3; Census Tract 43.02; Honolulu County; Hawaii,318,103,246,96.7,0.7736,72,48,0.2264,3,43.02
150030044011,Block Group 1; Census Tract 44.01; Honolulu County; Hawaii,252,59,188,70,0.746,64,31,0.254,1,44.01
150030044012,Block Group 2; Census Tract 44.01; Honolulu County; Hawaii,288,97,274,99.5,0.9514,14,15,0.0486,2,44.01
150030044013,Block Group 3; Census Tract 44.01; Honolulu County; Hawaii,296,71,215,73.5,0.7264,81,44,0.2736,3,44.01
150030044021,Block Group 1; Census Tract 44.02; Honolulu County; Hawaii,432,63,349,62.6,0.8079,83,31,0.1921,1,44.02
150030044022,Block Group 2; Census Tract 44.02; Honolulu County; Hawaii,435,98,300,96.9,0.6897,135,69,0.3103,2,44.02
150030045001,Block Group 1; Census Tract 45; Honolulu County; Hawaii,558,273,331,119.7,0.5932,227,264,0.4068,1,45
150030045002,Block Group 2; Census Tract 45; Honolulu County; Hawaii,367,104,289,101.6,0.7875,78,56,0.2125,2,45
150030045003,Block Group 3; Census Tract 45; Honolulu County; Hawaii,950,169,350,124.4,0.3684,600,159,0.6316,3,45
150030045004,Block Group 4; Census Tract 45; Honolulu County; Hawaii,311,184,279,187.1,0.8971,32,26,0.1029,4,45
150030046001,Block Group 1; Census Tract 46; Honolulu County; Hawaii,306,82,271,78.1,0.8856,35,27,0.1144,1,46
150030046002,Block Group 2; Census Tract 46; Honolulu County; Hawaii,239,60,184,59.2,0.7699,55,36,0.2301,2,46
150030046003,Block Group 3; Census Tract 46; Honolulu County; Hawaii,364,86,300,82.6,0.8242,64,51,0.1758,3,46
150030046004,Block Group 4; Census Tract 46; Honolulu County; Hawaii,174,56,155,53.7,0.8908,19,19,0.1092,4,46
150030047011,Block Group 1; Census Tract 47.01; Honolulu County; Hawaii,427,111,391,115,0.9157,36,19,0.0843,1,47.01
150030047012,Block Group 2; Census Tract 47.01; Honolulu County; Hawaii,394,94,309,99.6,0.7843,85,42,0.2157,2,47.01
150030047021,Block Group 1; Census Tract 47.02; Honolulu County; Hawaii,267,113,249,113.1,0.9326,18,20,0.0674,1,47.02
150030047022,Block Group 2; Census Tract 47.02; Honolulu County; Hawaii,239,86,206,86,0.8619,33,24,0.1381,2,47.02
150030047023,Block Group 3; Census Tract 47.02; Honolulu County; Hawaii,353,82,278,78.5,0.7875,75,53,0.2125,3,47.02
150030048011,Block Group 1; Census Tract 48.01; Honolulu County; Hawaii,194,64,148,60.9,0.7629,46,42,0.2371,1,48.01
150030048012,Block Group 2; Census Tract 48.01; Honolulu County; Hawaii,244,149,199,146.3,0.8156,45,50,0.1844,2,48.01
150030048013,Block Group 3; Census Tract 48.01; Honolulu County; Hawaii,510,308,226,79.6,0.4431,284,304,0.5569,3,48.01
150030048021,Block Group 1; Census Tract 48.02; Honolulu County; Hawaii,526,179,508,187.9,0.9658,18,20,0.0342,1,48.02
150030048022,Block Group 2; Census Tract 48.02; Honolulu County; Hawaii,238,75,141,59.8,0.5924,97,61,0.4076,2,48.02
150030048023,Block Group 3; Census Tract 48.02; Honolulu County; Hawaii,271,92,254,99.1,0.9373,17,19,0.0627,3,48.02
150030049001,Block Group 1; Census Tract 49; Honolulu County; Hawaii,336,116,303,115.7,0.9018,33,27,0.0982,1,49
150030049002,Block Group 2; Census Tract 49; Honolulu County; Hawaii,413,88,366,91.1,0.8862,47,34,0.1138,2,49
150030049003,Block Group 3; Census Tract 49; Honolulu County; Hawaii,318,80,200,54.1,0.6289,118,66,0.3711,3,49
150030050001,Block Group 1; Census Tract 50; Honolulu County; Hawaii,504,107,259,92.8,0.5139,245,77,0.4861,1,50
150030050002,Block Group 2; Census Tract 50; Honolulu County; Hawaii,370,93,298,91.6,0.8054,72,38,0.1946,2,50
150030050003,Block Group 3; Census Tract 50; Honolulu County; Hawaii,220,56,137,60.7,0.6227,83,38,0.3773,3,50
150030050004,Block Group 4; Census Tract 50; Honolulu County; Hawaii,406,232,180,58.1,0.4433,226,227,0.5567,4,50
150030051001,Block Group 1; Census Tract 51; Honolulu County; Hawaii,912,198,506,119,0.5548,406,209,0.4452,1,51
150030051002,Block Group 2; Census Tract 51; Honolulu County; Hawaii,656,135,388,102.6,0.5915,268,103,0.4085,2,51
150030052001,Block Group 1; Census Tract 52; Honolulu County; Hawaii,453,156,218,130.5,0.4812,235,83,0.5188,1,52
150030052002,Block Group 2; Census Tract 52; Honolulu County; Hawaii,898,159,419,104.3,0.4666,479,154,0.5334,2,52
150030053001,Block Group 1; Census Tract 53; Honolulu County; Hawaii,1025,158,885,166.2,0.8634,140,69,0.1366,1,53
150030053002,Block Group 2; Census Tract 53; Honolulu County; Hawaii,447,111,232,75.1,0.519,215,93,0.481,2,53
150030054001,Block Group 1; Census Tract 54; Honolulu County; Hawaii,398,105,347,106.1,0.8719,51,31,0.1281,1,54
150030055001,Block Group 1; Census Tract 55; Honolulu County; Hawaii,582,58,529,75.7,0.9089,53,33,0.0911,1,55
150030056011,Block Group 1; Census Tract 56.01; Honolulu County; Hawaii,412,91,170,58.1,0.4126,242,86,0.5874,1,56.01
150030056012,Block Group 2; Census Tract 56.01; Honolulu County; Hawaii,292,94,263,91.1,0.9007,29,30,0.0993,2,56.01
150030056021,Block Group 1; Census Tract 56.02; Honolulu County; Hawaii,206,106,174,100.1,0.8447,32,43,0.1553,1,56.02
150030056022,Block Group 2; Census Tract 56.02; Honolulu County; Hawaii,264,103,131,62.1,0.4962,133,74,0.5038,2,56.02
150030056023,Block Group 3; Census Tract 56.02; Honolulu County; Hawaii,577,138,485,132.7,0.8406,92,81,0.1594,3,56.02
150030057001,Block Group 1; Census Tract 57; Honolulu County; Hawaii,594,160,471,155,0.7929,123,55,0.2071,1,57
150030057002,Block Group 2; Census Tract 57; Honolulu County; Hawaii,445,113,210,108.9,0.4719,235,105,0.5281,2,57
150030058001,Block Group 1; Census Tract 58; Honolulu County; Hawaii,339,84,283,89.5,0.8348,56,39,0.1652,1,58
150030058002,Block Group 2; Census Tract 58; Honolulu County; Hawaii,687,195,555,104.4,0.8079,132,171,0.1921,2,58
150030059001,Block Group 1; Census Tract 59; Honolulu County; Hawaii,640,97,537,112.6,0.8391,103,48,0.1609,1,59
150030059002,Block Group 2; Census Tract 59; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,2,59
150030060001,Block Group 1; Census Tract 60; Honolulu County; Hawaii,424,92,395,93.1,0.9316,29,30,0.0684,1,60
150030060002,Block Group 2; Census Tract 60; Honolulu County; Hawaii,333,82,333,85.9,1,0,12,0,2,60
150030060003,Block Group 3; Census Tract 60; Honolulu County; Hawaii,440,121,420,132.8,0.9545,20,22,0.0455,3,60
150030061001,Block Group 1; Census Tract 61; Honolulu County; Hawaii,374,61,319,59.7,0.8529,55,44,0.1471,1,61
150030061002,Block Group 2; Census Tract 61; Honolulu County; Hawaii,444,76,410,86.8,0.9234,34,31,0.0766,2,61
150030062021,Block Group 1; Census Tract 62.02; Honolulu County; Hawaii,367,78,261,72.1,0.7112,106,71,0.2888,1,62.02
150030062022,Block Group 2; Census Tract 62.02; Honolulu County; Hawaii,235,64,139,56.1,0.5915,96,51,0.4085,2,62.02
150030062031,Block Group 1; Census Tract 62.03; Honolulu County; Hawaii,898,154,792,162,0.882,106,58,0.118,1,62.03
150030062032,Block Group 2; Census Tract 62.03; Honolulu County; Hawaii,414,104,360,119.6,0.8696,54,42,0.1304,2,62.03
150030063011,Block Group 1; Census Tract 63.01; Honolulu County; Hawaii,283,63,252,61.1,0.8905,31,25,0.1095,1,63.01
150030063012,Block Group 2; Census Tract 63.01; Honolulu County; Hawaii,295,65,267,64.1,0.9051,28,19,0.0949,2,63.01
150030063013,Block Group 3; Census Tract 63.01; Honolulu County; Hawaii,247,60,221,61,0.8947,26,24,0.1053,3,63.01
150030063021,Block Group 1; Census Tract 63.02; Honolulu County; Hawaii,107,50,94,47.4,0.8785,13,14,0.1215,1,63.02
150030063022,Block Group 2; Census Tract 63.02; Honolulu County; Hawaii,503,106,475,105.1,0.9443,28,27,0.0557,2,63.02
150030064011,Block Group 1; Census Tract 64.01; Honolulu County; Hawaii,439,42,416,54.2,0.9476,23,18,0.0524,1,64.01
150030064021,Block Group 1; Census Tract 64.02; Honolulu County; Hawaii,335,169,303,186.9,0.9045,32,31,0.0955,1,64.02
150030064022,Block Group 2; Census Tract 64.02; Honolulu County; Hawaii,308,103,258,95.9,0.8377,50,46,0.1623,2,64.02
150030064023,Block Group 3; Census Tract 64.02; Honolulu County; Hawaii,528,91,493,92.6,0.9337,35,53,0.0663,3,64.02
150030064024,Block Group 4; Census Tract 64.02; Honolulu County; Hawaii,313,100,313,100.3,1,0,12,0,4,64.02
150030065001,Block Group 1; Census Tract 65; Honolulu County; Hawaii,785,142,705,104.4,0.8981,80,103,0.1019,1,65
150030065002,Block Group 2; Census Tract 65; Honolulu County; Hawaii,284,94,261,89.4,0.919,23,23,0.081,2,65
150030067031,Block Group 1; Census Tract 67.03; Honolulu County; Hawaii,506,89,465,101.9,0.919,41,31,0.081,1,67.03
150030067041,Block Group 1; Census Tract 67.04; Honolulu County; Hawaii,1200,244,714,200.4,0.595,486,190,0.405,1,67.04
150030067042,Block Group 2; Census Tract 67.04; Honolulu County; Hawaii,257,106,90,46.1,0.3502,167,102,0.6498,2,67.04
150030067043,Block Group 3; Census Tract 67.04; Honolulu County; Hawaii,346,122,301,104.1,0.8699,45,55,0.1301,3,67.04
150030067044,Block Group 4; Census Tract 67.04; Honolulu County; Hawaii,249,64,210,72.3,0.8434,39,36,0.1566,4,67.04
150030067045,Block Group 5; Census Tract 67.04; Honolulu County; Hawaii,720,154,563,158.1,0.7819,157,70,0.2181,5,67.04
150030068061,Block Group 1; Census Tract 68.06; Honolulu County; Hawaii,274,48,247,52,0.9015,27,18,0.0985,1,68.06
150030068062,Block Group 2; Census Tract 68.06; Honolulu County; Hawaii,264,55,204,52.8,0.7727,60,29,0.2273,2,68.06
150030068101,Block Group 1; Census Tract 68.10; Honolulu County; Hawaii,561,111,561,111.1,1,0,12,0,1,68.10
150030068102,Block Group 2; Census Tract 68.10; Honolulu County; Hawaii,299,69,258,76.1,0.8629,41,37,0.1371,2,68.10
150030068111,Block Group 1; Census Tract 68.11; Honolulu County; Hawaii,331,71,331,71.1,1,0,12,0,1,68.11
150030068121,Block Group 1; Census Tract 68.12; Honolulu County; Hawaii,602,122,456,131,0.7575,146,74,0.2425,1,68.12
150030068131,Block Group 1; Census Tract 68.13; Honolulu County; Hawaii,960,174,701,176.1,0.7302,259,130,0.2698,1,68.13
150030068132,Block Group 2; Census Tract 68.13; Honolulu County; Hawaii,33,38,33,37.6,1,0,12,0,2,68.13
150030068133,Block Group 3; Census Tract 68.13; Honolulu County; Hawaii,636,193,317,122.1,0.4984,319,176,0.5016,3,68.13
150030068134,Block Group 4; Census Tract 68.13; Honolulu County; Hawaii,456,136,405,132.9,0.8882,51,37,0.1118,4,68.13
150030068141,Block Group 1; Census Tract 68.14; Honolulu County; Hawaii,406,117,344,118.7,0.8473,62,44,0.1527,1,68.14
150030068142,Block Group 2; Census Tract 68.14; Honolulu County; Hawaii,441,98,310,79.2,0.7029,131,63,0.2971,2,68.14
150030068151,Block Group 1; Census Tract 68.15; Honolulu County; Hawaii,841,242,616,223.8,0.7325,225,80,0.2675,1,68.15
150030068152,Block Group 2; Census Tract 68.15; Honolulu County; Hawaii,214,82,200,81.4,0.9346,14,16,0.0654,2,68.15
150030068161,Block Group 1; Census Tract 68.16; Honolulu County; Hawaii,514,94,416,92.1,0.8093,98,58,0.1907,1,68.16
150030068171,Block Group 1; Census Tract 68.17; Honolulu County; Hawaii,466,105,426,110.4,0.9142,40,44,0.0858,1,68.17
150030068172,Block Group 2; Census Tract 68.17; Honolulu County; Hawaii,284,84,274,86.5,0.9648,10,16,0.0352,2,68.17
150030068173,Block Group 3; Census Tract 68.17; Honolulu County; Hawaii,201,61,175,64.1,0.8706,26,19,0.1294,3,68.17
150030068181,Block Group 1; Census Tract 68.18; Honolulu County; Hawaii,721,114,465,104.6,0.6449,256,78,0.3551,1,68.18
150030068191,Block Group 1; Census Tract 68.19; Honolulu County; Hawaii,475,104,232,92,0.4884,243,87,0.5116,1,68.19
150030068192,Block Group 2; Census Tract 68.19; Honolulu County; Hawaii,759,140,499,139.8,0.6574,260,104,0.3426,2,68.19
150030069001,Block Group 1; Census Tract 69; Honolulu County; Hawaii,306,92,296,94.1,0.9673,10,14,0.0327,1,69
150030069002,Block Group 2; Census Tract 69; Honolulu County; Hawaii,445,91,445,91.1,1,0,12,0,2,69
150030069003,Block Group 3; Census Tract 69; Honolulu County; Hawaii,310,99,310,99.1,1,0,12,0,3,69
150030070011,Block Group 1; Census Tract 70.01; Honolulu County; Hawaii,629,178,378,155,0.601,251,127,0.399,1,70.01
150030070012,Block Group 2; Census Tract 70.01; Honolulu County; Hawaii,206,120,161,113.1,0.7816,45,38,0.2184,2,70.01
150030070021,Block Group 1; Census Tract 70.02; Honolulu County; Hawaii,231,101,231,103.8,1,0,12,0,1,70.02
150030070022,Block Group 2; Census Tract 70.02; Honolulu County; Hawaii,762,188,547,202.4,0.7178,215,137,0.2822,2,70.02
150030071001,Block Group 1; Census Tract 71; Honolulu County; Hawaii,559,147,549,156.7,0.9821,10,11,0.0179,1,71
150030071002,Block Group 2; Census Tract 71; Honolulu County; Hawaii,531,111,481,95.1,0.9058,50,78,0.0942,2,71
150030073021,Block Group 1; Census Tract 73.02; Honolulu County; Hawaii,262,98,233,94.1,0.8893,29,33,0.1107,1,73.02
150030073022,Block Group 2; Census Tract 73.02; Honolulu County; Hawaii,251,85,251,85.1,1,0,12,0,2,73.02
150030073023,Block Group 3; Census Tract 73.02; Honolulu County; Hawaii,524,136,489,142,0.9332,35,32,0.0668,3,73.02
150030073024,Block Group 4; Census Tract 73.02; Honolulu County; Hawaii,597,181,414,185.3,0.6935,183,119,0.3065,4,73.02
150030074001,Block Group 1; Census Tract 74; Honolulu County; Hawaii,452,125,316,97.3,0.6991,136,84,0.3009,1,74
150030074002,Block Group 2; Census Tract 74; Honolulu County; Hawaii,452,149,451,149,0.9978,1,2,0.0022,2,74
150030075041,Block Group 1; Census Tract 75.04; Honolulu County; Hawaii,381,95,265,93.6,0.6955,116,51,0.3045,1,75.04
150030075042,Block Group 2; Census Tract 75.04; Honolulu County; Hawaii,581,100,451,100.5,0.7762,130,43,0.2238,2,75.04
150030075071,Block Group 1; Census Tract 75.07; Honolulu County; Hawaii,492,118,380,130.7,0.7724,112,47,0.2276,1,75.07
150030075072,Block Group 2; Census Tract 75.07; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,2,75.07
150030075073,Block Group 3; Census Tract 75.07; Honolulu County; Hawaii,752,157,522,127,0.6941,230,137,0.3059,3,75.07
150030075074,Block Group 4; Census Tract 75.07; Honolulu County; Hawaii,680,220,557,210.3,0.8191,123,93,0.1809,4,75.07
150030075081,Block Group 1; Census Tract 75.08; Honolulu County; Hawaii,318,83,318,83.1,1,0,12,0,1,75.08
150030075082,Block Group 2; Census Tract 75.08; Honolulu County; Hawaii,247,82,165,66.1,0.668,82,56,0.332,2,75.08
150030075083,Block Group 3; Census Tract 75.08; Honolulu County; Hawaii,241,110,191,100.1,0.7925,50,53,0.2075,3,75.08
150030075084,Block Group 4; Census Tract 75.08; Honolulu County; Hawaii,825,181,743,190.9,0.9006,82,54,0.0994,4,75.08
150030075085,Block Group 5; Census Tract 75.08; Honolulu County; Hawaii,602,225,395,214.1,0.6561,207,98,0.3439,5,75.08
150030077011,Block Group 1; Census Tract 77.01; Honolulu County; Hawaii,447,112,320,102.4,0.7159,127,87,0.2841,1,77.01
150030077012,Block Group 2; Census Tract 77.01; Honolulu County; Hawaii,377,141,328,144,0.87,49,35,0.13,2,77.01
150030077013,Block Group 3; Census Tract 77.01; Honolulu County; Hawaii,306,84,221,71.1,0.7222,85,82,0.2778,3,77.01
150030077021,Block Group 1; Census Tract 77.02; Honolulu County; Hawaii,287,89,228,108.9,0.7944,59,53,0.2056,1,77.02
150030077022,Block Group 2; Census Tract 77.02; Honolulu County; Hawaii,418,145,307,78.7,0.7344,111,137,0.2656,2,77.02
150030077023,Block Group 3; Census Tract 77.02; Honolulu County; Hawaii,542,143,468,131.4,0.8635,74,76,0.1365,3,77.02
150030077024,Block Group 4; Census Tract 77.02; Honolulu County; Hawaii,490,94,378,103,0.7714,112,69,0.2286,4,77.02
150030078041,Block Group 1; Census Tract 78.04; Honolulu County; Hawaii,312,64,241,55.4,0.7724,71,48,0.2276,1,78.04
150030078042,Block Group 2; Census Tract 78.04; Honolulu County; Hawaii,322,69,288,65.1,0.8944,34,32,0.1056,2,78.04
150030078071,Block Group 1; Census Tract 78.07; Honolulu County; Hawaii,540,222,389,202.9,0.7204,151,112,0.2796,1,78.07
150030078072,Block Group 2; Census Tract 78.07; Honolulu County; Hawaii,531,200,272,137.9,0.5122,259,146,0.4878,2,78.07
150030078073,Block Group 3; Census Tract 78.07; Honolulu County; Hawaii,646,180,235,119.1,0.3638,411,179,0.6362,3,78.07
150030078074,Block Group 4; Census Tract 78.07; Honolulu County; Hawaii,398,124,177,78.8,0.4447,221,110,0.5553,4,78.07
150030078075,Block Group 5; Census Tract 78.07; Honolulu County; Hawaii,621,150,480,150,0.7729,141,110,0.2271,5,78.07
150030078081,Block Group 1; Census Tract 78.08; Honolulu County; Hawaii,422,130,327,106.8,0.7749,95,74,0.2251,1,78.08
150030078082,Block Group 2; Census Tract 78.08; Honolulu County; Hawaii,385,114,336,121.4,0.8727,49,48,0.1273,2,78.08
150030078083,Block Group 3; Census Tract 78.08; Honolulu County; Hawaii,309,86,161,80.7,0.521,148,70,0.479,3,78.08
150030078091,Block Group 1; Census Tract 78.09; Honolulu County; Hawaii,418,149,263,64.5,0.6292,155,144,0.3708,1,78.09
150030078092,Block Group 2; Census Tract 78.09; Honolulu County; Hawaii,456,109,355,89.1,0.7785,101,65,0.2215,2,78.09
150030078093,Block Group 3; Census Tract 78.09; Honolulu County; Hawaii,219,89,204,93.5,0.9315,15,17,0.0685,3,78.09
150030078121,Block Group 1; Census Tract 78.12; Honolulu County; Hawaii,312,61,221,61.7,0.7083,91,41,0.2917,1,78.12
150030078122,Block Group 2; Census Tract 78.12; Honolulu County; Hawaii,521,95,412,107.9,0.7908,109,51,0.2092,2,78.12
150030078131,Block Group 1; Census Tract 78.13; Honolulu County; Hawaii,350,69,330,69.6,0.9429,20,16,0.0571,1,78.13
150030078132,Block Group 2; Census Tract 78.13; Honolulu County; Hawaii,317,86,266,100.3,0.8391,51,31,0.1609,2,78.13
150030078133,Block Group 3; Census Tract 78.13; Honolulu County; Hawaii,208,48,203,48.1,0.976,5,8,0.024,3,78.13
150030078141,Block Group 1; Census Tract 78.14; Honolulu County; Hawaii,832,109,735,122.8,0.8834,97,50,0.1166,1,78.14
150030078142,Block Group 2; Census Tract 78.14; Honolulu County; Hawaii,350,59,320,61.1,0.9143,30,27,0.0857,2,78.14
150030078151,Block Group 1; Census Tract 78.15; Honolulu County; Hawaii,760,171,657,190.4,0.8645,103,39,0.1355,1,78.15
150030078161,Block Group 1; Census Tract 78.16; Honolulu County; Hawaii,158,57,113,52.2,0.7152,45,38,0.2848,1,78.16
150030078162,Block Group 2; Census Tract 78.16; Honolulu County; Hawaii,301,93,237,93.3,0.7874,64,38,0.2126,2,78.16
150030078163,Block Group 3; Census Tract 78.16; Honolulu County; Hawaii,868,144,579,128.3,0.6671,289,118,0.3329,3,78.16
150030078171,Block Group 1; Census Tract 78.17; Honolulu County; Hawaii,335,75,243,73.9,0.7254,92,50,0.2746,1,78.17
150030078172,Block Group 2; Census Tract 78.17; Honolulu County; Hawaii,372,186,338,186,0.9086,34,28,0.0914,2,78.17
150030080011,Block Group 1; Census Tract 80.01; Honolulu County; Hawaii,729,101,416,99.5,0.5706,313,72,0.4294,1,80.01
150030080012,Block Group 2; Census Tract 80.01; Honolulu County; Hawaii,200,75,141,48.3,0.705,59,60,0.295,2,80.01
150030080021,Block Group 1; Census Tract 80.02; Honolulu County; Hawaii,454,100,337,103.8,0.7423,117,52,0.2577,1,80.02
150030080022,Block Group 2; Census Tract 80.02; Honolulu County; Hawaii,343,56,248,65.8,0.723,95,42,0.277,2,80.02
150030080051,Block Group 1; Census Tract 80.05; Honolulu County; Hawaii,816,269,630,238.9,0.7721,186,157,0.2279,1,80.05
150030080052,Block Group 2; Census Tract 80.05; Honolulu County; Hawaii,510,190,380,112.1,0.7451,130,140,0.2549,2,80.05
150030080053,Block Group 3; Census Tract 80.05; Honolulu County; Hawaii,286,124,190,120.2,0.6643,96,101,0.3357,3,80.05
150030080054,Block Group 4; Census Tract 80.05; Honolulu County; Hawaii,579,167,507,155.5,0.8756,72,64,0.1244,4,80.05
150030080081,Block Group 1; Census Tract 80.08; Honolulu County; Hawaii,270,52,191,46.2,0.7074,79,50,0.2926,1,80.08
150030080082,Block Group 2; Census Tract 80.08; Honolulu County; Hawaii,204,54,181,48.1,0.8873,23,28,0.1127,2,80.08
150030080091,Block Group 1; Census Tract 80.09; Honolulu County; Hawaii,366,114,197,83.1,0.5383,169,81,0.4617,1,80.09
150030080092,Block Group 2; Census Tract 80.09; Honolulu County; Hawaii,934,176,456,133.7,0.4882,478,131,0.5118,2,80.09
150030080101,Block Group 1; Census Tract 80.10; Honolulu County; Hawaii,280,53,183,52.9,0.6536,97,48,0.3464,1,80.10
150030080102,Block Group 2; Census Tract 80.10; Honolulu County; Hawaii,408,90,374,93.1,0.9167,34,26,0.0833,2,80.10
150030080111,Block Group 1; Census Tract 80.11; Honolulu County; Hawaii,812,133,716,140.8,0.8818,96,39,0.1182,1,80.11
150030080121,Block Group 1; Census Tract 80.12; Honolulu County; Hawaii,371,76,322,75.1,0.8679,49,25,0.1321,1,80.12
150030080122,Block Group 2; Census Tract 80.12; Honolulu County; Hawaii,444,90,382,85.1,0.8604,62,32,0.1396,2,80.12
150030080131,Block Group 1; Census Tract 80.13; Honolulu County; Hawaii,347,67,302,74.3,0.8703,45,29,0.1297,1,80.13
150030080132,Block Group 2; Census Tract 80.13; Honolulu County; Hawaii,406,63,388,64.1,0.9557,18,13,0.0443,2,80.13
150030083011,Block Group 1; Census Tract 83.01; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,1,83.01
150030083012,Block Group 2; Census Tract 83.01; Honolulu County; Hawaii,690,140,580,151.7,0.8406,110,72,0.1594,2,83.01
150030083013,Block Group 3; Census Tract 83.01; Honolulu County; Hawaii,320,110,264,109.7,0.825,56,48,0.175,3,83.01
150030083014,Block Group 4; Census Tract 83.01; Honolulu County; Hawaii,432,151,391,140.7,0.9051,41,35,0.0949,4,83.01
150030083021,Block Group 1; Census Tract 83.02; Honolulu County; Hawaii,468,127,437,132,0.9338,31,27,0.0662,1,83.02
150030083022,Block Group 2; Census Tract 83.02; Honolulu County; Hawaii,436,118,385,112.1,0.883,51,52,0.117,2,83.02
150030083023,Block Group 3; Census Tract 83.02; Honolulu County; Hawaii,475,98,460,101.4,0.9684,15,18,0.0316,3,83.02
150030084051,Block Group 1; Census Tract 84.05; Honolulu County; Hawaii,458,101,446,103.1,0.9738,12,14,0.0262,1,84.05
150030084052,Block Group 2; Census Tract 84.05; Honolulu County; Hawaii,306,165,306,177.6,1,0,12,0,2,84.05
150030084053,Block Group 3; Census Tract 84.05; Honolulu County; Hawaii,615,182,615,186.7,1,0,12,0,3,84.05
150030084071,Block Group 1; Census Tract 84.07; Honolulu County; Hawaii,710,188,642,183.9,0.9042,68,39,0.0958,1,84.07
150030084072,Block Group 2; Census Tract 84.07; Honolulu County; Hawaii,471,100,433,102.1,0.9193,38,34,0.0807,2,84.07
150030084081,Block Group 1; Census Tract 84.08; Honolulu County; Hawaii,625,252,529,250.6,0.8464,96,68,0.1536,1,84.08
150030084082,Block Group 2; Census Tract 84.08; Honolulu County; Hawaii,1504,356,1402,358.8,0.9322,102,95,0.0678,2,84.08
150030084083,Block Group 3; Census Tract 84.08; Honolulu County; Hawaii,1229,195,1083,214.7,0.8812,146,127,0.1188,3,84.08
150030084101,Block Group 1; Census Tract 84.10; Honolulu County; Hawaii,468,114,456,118.2,0.9744,12,19,0.0256,1,84.10
150030084102,Block Group 2; Census Tract 84.10; Honolulu County; Hawaii,1601,173,1446,198.9,0.9032,155,99,0.0968,2,84.10
150030084111,Block Group 1; Census Tract 84.11; Honolulu County; Hawaii,260,69,237,69.1,0.9115,23,23,0.0885,1,84.11
150030084112,Block Group 2; Census Tract 84.11; Honolulu County; Hawaii,563,115,378,130.1,0.6714,185,109,0.3286,2,84.11
150030084113,Block Group 3; Census Tract 84.11; Honolulu County; Hawaii,395,138,355,138,0.8987,40,34,0.1013,3,84.11
150030084131,Block Group 1; Census Tract 84.13; Honolulu County; Hawaii,344,127,337,133.4,0.9797,7,11,0.0203,1,84.13
150030084132,Block Group 2; Census Tract 84.13; Honolulu County; Hawaii,393,116,347,126.9,0.883,46,31,0.117,2,84.13
150030084141,Block Group 1; Census Tract 84.14; Honolulu County; Hawaii,699,171,686,169.2,0.9814,13,16,0.0186,1,84.14
150030084151,Block Group 1; Census Tract 84.15; Honolulu County; Hawaii,485,140,471,133.7,0.9711,14,22,0.0289,1,84.15
150030084152,Block Group 2; Census Tract 84.15; Honolulu County; Hawaii,640,113,525,116.1,0.8203,115,77,0.1797,2,84.15
